Emp ID,First Name,Last Name,Gender,Father's Name,Mother's Name,Date of Birth,Age in Company (Years),Phone No. ,City,State,Zip
19,Julia,Scott,F,Lawrence Scott,Amy Scott,7/15/1959,12.43,423-939-1010,Primm Springs,TN,38476
20,Thomas,Lewis,M,Ryan Lewis,Lois Lewis,10/4/1967,19.15,314-679-3697,Dutchtown,MO,63745
21,Carol,Edwards,F,Shawn Edwards,Susan Edwards,12/14/1994,1.26,225-283-4295,Shreveport,LA,71162
22,Matthew,Turner,M,Jose Turner,Kathy Turner,10/26/1993,1.47,236-972-7624,Heathsville,VA,22473
23,Joan,Stewart,F,Charles Stewart,Julia Stewart,11/20/1972,7.58,216-637-6800,Middleport,OH,45760
24,Ruby,Rogers,F,Ronald Rogers,Teresa Rogers,5/1/1980,3.91,423-231-6507,Woodbury,TN,37190
25,Carolyn,Hayes,F,Jimmy Hayes,Sara Hayes,3/10/1958,16.08,239-882-8784,Saint Cloud,FL,34771
26,Anne,Russell,F,Jimmy Russell,Stephanie Russell,7/29/1989,3.68,605-635-1306,Stockholm,SD,57264
27,Daniel,Cooper,M,Louis Cooper,Julie Cooper,1/1/1990,3.4,701-510-8162,Manning,ND,58642
28,Roger,Roberts,M,Antonio Roberts,Katherine Roberts,7/7/1969,8.5,206-497-3141,Mount Vernon,WA,98273
29,Maria,Walker,F,Ralph Walker,Teresa Walker,3/19/1975,18.84,423-668-5506,Lawrenceburg,TN,38464
30,Brenda,Butler,F,Phillip Butler,Joyce Butler,12/6/1963,29.96,480-814-8284,Mesa,AZ,85208
31,Lillian,Brown,F,Gary Brown,Virginia Brown,5/12/1981,2.29,239-812-9041,Panacea,FL,32346
32,Amy,Howard,F,James Howard,Virginia Howard,6/16/1981,14.17,803-613-3168,Kline,SC,29814
33,Gregory,Edwards,M,Jose Edwards,Helen Edwards,8/31/1993,1.83,503-256-9654,Bonanza,OR,97623
34,Roy,Griffin,M,Benjamin Griffin,Wanda Griffin,5/8/1991,4.93,219-506-9378,Liberty,IN,47353
35,Richard,Mitchell,M,Peter Mitchell,Andrea Mitchell,7/28/1993,0.94,205-621-5884,Ohatchee,AL,36271
36,Mary,Wilson,F,Robert Wilson,Jennifer Wilson,12/1/1967,25.62,423-937-8660,Nashville,TN,37219
37,Aaron,Price,M,Michael Price,Diana Price,2/10/1969,20.08,219-287-8926,Eckerty,IN,47116
38,Donna,Brown,F,Adam Brown,Irene Brown,9/14/1983,4.03,212-434-7910,Lima,NY,14485
39,Carl,Collins,M,Gerald Collins,Phyllis Collins,12/22/1973,10.14,479-740-7633,Wright,AR,72182
40,Joyce,Jenkins,F,Edward Jenkins,Susan Jenkins,8/22/1961,7.21,262-455-4187,Ellsworth,WI,54011
41,Mary,Bryant,F,Joshua Bryant,Norma Bryant,6/21/1962,13.2,319-827-3516,Conroy,IA,52220
42,Amanda,Hughes,F,Roy Hughes,Cynthia Hughes,7/29/1982,10.28,225-544-9700,Lake Charles,LA,70605
43,Jack,Campbell,M,Philip Campbell,Wanda Campbell,1/4/1985,10.01,316-499-5737,Kalvesta,KS,67856
44,Alan,Rivera,M,Bobby Rivera,Jennifer Rivera,12/11/1978,11.15,423-277-6819,Knoxville,TN,37901
45,Elizabeth,Jackson,F,Scott Jackson,Catherine Jackson,8/15/1964,12.53,603-568-6118,Rochester,NH,3867
46,Nancy,Davis,F,Bruce Davis,Jessica Davis,11/14/1983,4.93,219-610-3067,Bowling Green,IN,47833
47,Ernest,Martinez,M,Ryan Martinez,Beverly Martinez,11/9/1989,1.51,479-951-4138,Uniontown,AR,72955
48,Judy,Hernandez,F,Fred Hernandez,Pamela Hernandez,3/25/1961,5.59,316-736-6126,Topeka,KS,66606
49,Nancy,Jones,F,Eugene Jones,Sandra Jones,11/10/1993,1.78,212-825-1930,New York City,NY,10087
50,Pamela,Wright,F,Terry Wright,Debra Wright,4/14/1996,0.13,307-329-8832,Banner,WY,82832
51,Larry,Miller,M,Russell Miller,Mildred Miller,10/31/1988,0.43,217-574-9283,East Saint Louis,IL,62201
52,Ann,Coleman,F,Harold Coleman,Tina Coleman,5/11/1989,3.69,319-994-4179,Hancock,IA,51536
53,Judy,Gonzales,F,Kevin Gonzales,Sharon Gonzales,6/17/1959,25.58,201-640-8645,Eatontown,NJ,7724
54,Peter,Washington,M,Douglas Washington,Jean Washington,11/6/1982,7.67,231-322-0316,Portage,MI,49024
55,Clarence,Ross,M,Arthur Ross,Louise Ross,12/13/1960,8.58,423-772-0118,Oneida,TN,37841
56,Sharon,Lopez,F,Daniel Lopez,Susan Lopez,5/4/1991,3.39,304-934-5548,Bartley,WV,24813
57,Ann,Cooper,F,Harold Cooper,Mildred Cooper,12/25/1992,0.45,406-278-6460,Arlee,MT,59821
58,Anne,Perez,F,Douglas Perez,Doris Perez,5/5/1958,14.01,423-837-3338,Cookeville,TN,38505
59,Nancy,Howard,F,Gregory Howard,Mildred Howard,5/5/1961,18.48,236-973-8086,Saxe,VA,23967
60,Antonio,Roberts,M,Timothy Roberts,Diana Roberts,8/27/1995,0.24,205-267-7304,Mc Calla,AL,35111
61,Frances,Watson,F,Adam Watson,Diana Watson,1/30/1961,6.94,406-530-8069,Trego,MT,59934
62,Debra,Wood,F,Martin Wood,Theresa Wood,10/30/1969,26.56,308-646-6219,Blair,NE,68009
63,Henry,Jenkins,M,Albert Jenkins,Beverly Jenkins,11/6/1984,0.1,314-731-7135,Riverside,MO,64150
64,Melissa,Butler,F,Robert Butler,Anne Butler,11/14/1994,0.47,308-827-9016,Maxwell,NE,69151
65,Todd,Hall,M,Thomas Hall,Kathleen Hall,8/31/1991,1.22,240-513-8668,Randallstown,MD,21133
66,Christopher,Nelson,M,Jeffrey Nelson,Cynthia Nelson,3/29/1960,19.73,480-946-9780,Willow Beach,AZ,86445
67,Andrea,Garcia,F,Mark Garcia,Nicole Garcia,7/6/1985,7.28,219-624-3708,Granger,IN,46530
68,Jeremy,Sanchez,M,Albert Sanchez,Patricia Sanchez,2/5/1965,11.33,423-974-2755,Alcoa,TN,37701
69,Steven,Phillips,M,Jason Phillips,Gloria Phillips,9/12/1986,2.34,225-968-5952,Baton Rouge,LA,70833
70,Cynthia,Ramirez,F,Walter Ramirez,Evelyn Ramirez,9/22/1982,8.44,406-961-7340,Browning,MT,59417
71,Jason,Anderson,M,Brandon Anderson,Julia Anderson,1/3/1974,17.86,217-856-6752,Hudson,IL,61748
72,Cynthia,White,F,Nicholas White,Katherine White,6/15/1963,13.41,314-593-3092,Kansas City,MO,64133
73,Margaret,Brooks,F,Johnny Brooks,Debra Brooks,6/27/1992,0.92,303-960-0117,Haswell,CO,81045
74,Douglas,Flores,M,Justin Flores,Kathy Flores,4/21/1986,7.88,303-836-4721,Eckert,CO,81418
75,Paul,Watson,M,Carl Watson,Anna Watson,3/9/1959,22.1,270-556-7711,Blue River,KY,41607
76,Linda,Moore,F,Howard Moore,Diana Moore,8/18/1991,0.2,215-793-7095,Albion,PA,16401
77,Cheryl,Miller,F,Gerald Miller,Christine Miller,4/20/1985,10,270-880-3858,Bays,KY,41310
78,Martha,Washington,F,Todd Washington,Carolyn Washington,3/28/1991,0.4,405-945-0242,Nardin,OK,74646
79,William,Hernandez,M,Peter Hernandez,Deborah Hernandez,7/22/1967,17.36,239-276-0532,Mary Esther,FL,32569
80,Carolyn,Price,F,Kevin Price,Patricia Price,5/30/1976,2.73,217-409-4338,Wheaton,IL,60189
81,Ruby,Stewart,F,Paul Stewart,Paula Stewart,10/23/1968,0.07,218-445-2369,Margie,MN,56658
82,Paul,Cooper,M,Nicholas Cooper,Helen Cooper,8/12/1991,2.89,210-984-4722,Glidden,TX,78943
83,Ernest,Washington,M,Johnny Washington,Shirley Washington,10/28/1984,2.49,212-596-1659,Saranac Lake,NY,12983
84,Dorothy,Edwards,F,Dennis Edwards,Betty Edwards,1/19/1984,3.58,215-902-6888,Philadelphia,PA,19132
